Student_ID,Student_Name,Stream,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Preferred_AI_Tool,Year_of_Study,Do_Professors_Allow_Use,Awareness_Level
0,aarav,engineering,gemini,0.9,assignments,2,2,copilot,4,no,9
0,aarav,engineering,gemini,0.9,coding help,2,2,copilot,4,no,9
1,vivaan,commerce,chatgpt,3.4,learning new topics,3,-3,other,2,yes,6
2,aditya,science,copilot,3.6,mcq practice,5,0,gemini,2,no,1
2,aditya,science,copilot,3.6,projects,5,0,gemini,2,no,1
3,vihaan,arts,copilot,2.9,content writing,5,2,gemini,2,yes,5
4,arjun,science,gemini,0.9,doubt solving,1,3,other,1,yes,8
4,arjun,science,gemini,0.9,resume writing,1,3,other,1,yes,8
5,sai,commerce,gemini,0.8,doubt solving,2,-2,gemini,2,yes,7
5,sai,commerce,gemini,0.8,resume writing,2,-2,gemini,2,yes,7
6,reyansh,medical,chatgpt,2.2,assignments,1,-1,other,1,yes,2
6,reyansh,medical,gemini,2.2,assignments,1,-1,other,1,yes,2
6,reyansh,medical,copilot,2.2,assignments,1,-1,other,1,yes,2
6,reyansh,medical,chatgpt,2.2,coding help,1,-1,other,1,yes,2
6,reyansh,medical,gemini,2.2,coding help,1,-1,other,1,yes,2
6,reyansh,medical,copilot,2.2,coding help,1,-1,other,1,yes,2
7,ayaan,engineering,chatgpt,2.4,exam prep,2,-2,copilot,4,yes,5
7,ayaan,engineering,copilot,2.4,exam prep,2,-2,copilot,4,yes,5
7,ayaan,engineering,chatgpt,2.4,notes,2,-2,copilot,4,yes,5
7,ayaan,engineering,copilot,2.4,notes,2,-2,copilot,4,yes,5
8,krishna,engineering,chatgpt,2.1,mcq practice,2,-2,copilot,4,yes,8
8,krishna,engineering,copilot,2.1,mcq practice,2,-2,copilot,4,yes,8
8,krishna,engineering,chatgpt,2.1,projects,2,-2,copilot,4,yes,8
8,krishna,engineering,copilot,2.1,projects,2,-2,copilot,4,yes,8
9,ishaan,commerce,gemini,1.4,content writing,3,-2,gemini,2,no,3
10,rudra,arts,copilot,1.0,learning new topics,5,1,copilot,2,no,10
11,dhruv,medical,chatgpt,1.2,exam prep,4,-2,other,2,yes,7
11,dhruv,medical,chatgpt,1.2,notes,4,-2,other,2,yes,7
12,kabir,arts,chatgpt,4.4,assignments,3,-3,copilot,3,yes,9
12,kabir,arts,gemini,4.4,assignments,3,-3,copilot,3,yes,9
12,kabir,arts,copilot,4.4,assignments,3,-3,copilot,3,yes,9
12,kabir,arts,chatgpt,4.4,coding help,3,-3,copilot,3,yes,9
