Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,Device_Used,Internet_Access,Student_ID
aarav,indian institute of information technology,engineering,4,gemini,0.9,assignments,2,2,no,copilot,9,yes,mobile,poor,0
aarav,indian institute of information technology,engineering,4,gemini,0.9,coding help,2,2,no,copilot,9,yes,mobile,poor,0
vivaan,"government ram bhajan rai nes college, jashpur",commerce,2,chatgpt,3.4,learning new topics,3,-3,yes,other,6,no,laptop,poor,1
aditya,dolphin pg institute of biomedical & natural,science,2,copilot,3.6,mcq practice,5,0,no,gemini,1,no,tablet,poor,2
aditya,dolphin pg institute of biomedical & natural,science,2,copilot,3.6,projects,5,0,no,gemini,1,no,tablet,poor,2
vihaan,shaheed rajguru college of applied sciences for,arts,2,copilot,2.9,content writing,5,2,yes,gemini,5,no,laptop,high,3
arjun,roorkee college of engineering,science,1,gemini,0.9,doubt solving,1,3,yes,other,8,yes,laptop,medium,4
arjun,roorkee college of engineering,science,1,gemini,0.9,resume writing,1,3,yes,other,8,yes,laptop,medium,4
sai,kanya mahavidyalaya,commerce,2,gemini,0.8,doubt solving,2,-2,yes,gemini,7,no,laptop,high,5
sai,kanya mahavidyalaya,commerce,2,gemini,0.8,resume writing,2,-2,yes,gemini,7,no,laptop,high,5
reyansh,shivalik institute of paramedical technology,medical,1,"chatgpt, gemini, copilot",2.2,assignments,1,-1,yes,other,2,no,mobile,medium,6
reyansh,shivalik institute of paramedical technology,medical,1,"chatgpt, gemini, copilot",2.2,coding help,1,-1,yes,other,2,no,mobile,medium,6
ayaan,"alpha college of engineering & technology, pondicherry",engineering,4,"chatgpt, copilot",2.4,exam prep,2,-2,yes,copilot,5,yes,mobile,high,7
ayaan,"alpha college of engineering & technology, pondicherry",engineering,4,"chatgpt, copilot",2.4,notes,2,-2,yes,copilot,5,yes,mobile,high,7
krishna,"jaipur engineering college and research centre, jaipur",engineering,4,"chatgpt, copilot",2.1,mcq practice,2,-2,yes,copilot,8,yes,laptop,poor,8
krishna,"jaipur engineering college and research centre, jaipur",engineering,4,"chatgpt, copilot",2.1,projects,2,-2,yes,copilot,8,yes,laptop,poor,8
ishaan,"icfai university, shillong",commerce,2,gemini,1.4,content writing,3,-2,no,gemini,3,yes,laptop,high,9
rudra,kanchi mamunivar centre for post graduate studies,arts,2,copilot,1.0,learning new topics,5,1,no,copilot,10,yes,tablet,high,10
dhruv,jharkhand rai university,medical,2,chatgpt,1.2,exam prep,4,-2,yes,other,7,yes,laptop,poor,11
dhruv,jharkhand rai university,medical,2,chatgpt,1.2,notes,4,-2,yes,other,7,yes,laptop,poor,11
kabir,"christ church college -[ccc], kanpur",arts,3,"chatgpt, gemini, copilot",4.4,assignments,3,-3,yes,copilot,9,yes,tablet,high,12
kabir,"christ church college -[ccc], kanpur",arts,3,"chatgpt, gemini, copilot",4.4,coding help,3,-3,yes,copilot,9,yes,tablet,high,12
atharv,neville wadia institute of management studies and,management,2,"gemini, midjourney",3.6,exam prep,1,3,no,copilot,10,yes,tablet,poor,13
atharv,neville wadia institute of management studies and,management,2,"gemini, midjourney",3.6,notes,1,3,no,copilot,10,yes,tablet,poor,13
om,indian institute of technology madras,engineering,3,"chatgpt, gemini, copilot",4.1,mcq practice,2,3,yes,gemini,7,no,laptop,poor,14
om,indian institute of technology madras,engineering,3,"chatgpt, gemini, copilot",4.1,projects,2,3,yes,gemini,7,no,laptop,poor,14
anaya,"united college, chandel",arts,2,chatgpt,4.3,content writing,4,-2,no,copilot,1,yes,mobile,poor,15
siya,shivalik institute of paramedical technology,management,3,chatgpt,2.5,learning new topics,2,-2,no,chatgpt,5,no,laptop,medium,16
diya,chandigarh university,law,2,"gemini, midjourney",3.2,content writing,2,-3,no,copilot,9,yes,mobile,medium,17
myra,apex professional university,management,3,chatgpt,3.7,doubt solving,3,1,yes,chatgpt,10,yes,tablet,medium,18
myra,apex professional university,management,3,chatgpt,3.7,resume writing,3,1,yes,chatgpt,10,yes,tablet,medium,18
aadhya,madhav university,pharmacy,1,gemini,4.4,mcq practice,1,2,no,copilot,4,no,mobile,high,19
aadhya,madhav university,pharmacy,1,gemini,4.4,projects,1,2,no,copilot,4,no,mobile,high,19
riya,national institute of fashion technology,management,2,"chatgpt, gemini, copilot",3.8,mcq practice,5,-2,no,copilot,4,no,laptop,high,20
riya,national institute of fashion technology,management,2,"chatgpt, gemini, copilot",3.8,projects,5,-2,no,copilot,4,no,laptop,high,20
pari,king george's medical university,medical,2,"chatgpt, gemini, copilot",4.2,doubt solving,3,-2,yes,chatgpt,7,yes,laptop,poor,21
pari,king george's medical university,medical,2,"chatgpt, gemini, copilot",4.2,resume writing,3,-2,yes,chatgpt,7,yes,laptop,poor,21
anika,"loyola academy degree and pg college, secunderabad",agriculture,1,chatgpt,3.4,mcq practice,1,0,yes,copilot,1,yes,laptop,high,22
anika,"loyola academy degree and pg college, secunderabad",agriculture,1,chatgpt,3.4,projects,1,0,yes,copilot,1,yes,laptop,high,22
ira,royal college of pharmacy & health sciences,pharmacy,3,"gemini, midjourney",4.4,assignments,2,0,no,other,3,yes,tablet,medium,23
ira,royal college of pharmacy & health sciences,pharmacy,3,"gemini, midjourney",4.4,coding help,2,0,no,other,3,yes,tablet,medium,23
meera,nalanda open university,arts,4,"chatgpt, gemini, copilot",1.6,learning new topics,1,1,yes,chatgpt,8,yes,laptop,medium,24
saanvi,"ramnarain ruia autonomous college, mumbai",commerce,3,"gemini, midjourney",4.4,content writing,5,0,yes,gemini,5,no,laptop,poor,25
navya,galgotias university,agriculture,3,chatgpt,3.1,doubt solving,3,-1,no,chatgpt,4,yes,laptop,high,26
navya,galgotias university,agriculture,3,chatgpt,3.1,resume writing,3,-1,no,chatgpt,4,yes,laptop,high,26
aarohi,atal bihari vajpayee hindi vishwavidyalaya,science,1,gemini,0.5,mcq practice,5,-2,no,chatgpt,3,no,laptop,high,27
aarohi,atal bihari vajpayee hindi vishwavidyalaya,science,1,gemini,0.5,projects,5,-2,no,chatgpt,3,no,laptop,high,27
prisha,"government mahaprabhu vallabhacharya post graduate college, mahasamund",science,4,"chatgpt, gemini, copilot",1.8,content writing,1,-3,yes,other,10,no,laptop,poor,28
ishita,"the global university, itanagar",commerce,3,gemini,2.4,mcq practice,1,-3,yes,copilot,8,no,laptop,poor,29
ishita,"the global university, itanagar",commerce,3,gemini,2.4,projects,1,-3,yes,copilot,8,no,laptop,poor,29
rakhi,"ggdsd college, palampur",arts,3,"chatgpt, copilot",3.2,exam prep,2,0,yes,copilot,5,no,mobile,high,30
rakhi,"ggdsd college, palampur",arts,3,"chatgpt, copilot",3.2,notes,2,0,yes,copilot,5,no,mobile,high,30
ramya,shivaji university,law,4,"chatgpt, gemini, copilot",3.1,doubt solving,1,2,yes,copilot,9,no,mobile,poor,31
ramya,shivaji university,law,4,"chatgpt, gemini, copilot",3.1,resume writing,1,2,yes,copilot,9,no,mobile,poor,31
sneha,"swami keshwanand rajasthan agricultural university, bikaner",science,2,"gemini, midjourney",0.7,assignments,3,0,yes,other,2,no,mobile,high,32
sneha,"swami keshwanand rajasthan agricultural university, bikaner",science,2,"gemini, midjourney",0.7,coding help,3,0,yes,other,2,no,mobile,high,32
divya,vaishali institute of business and rural management,management,3,"gemini, midjourney",2.6,learning new topics,3,-2,no,chatgpt,10,no,tablet,poor,33
neha,panjab university,agriculture,1,copilot,4.1,assignments,5,1,yes,copilot,8,no,mobile,medium,34
neha,panjab university,agriculture,1,copilot,4.1,coding help,5,1,yes,copilot,8,no,mobile,medium,34
pooja,hyderabad school of business,management,2,"chatgpt, copilot",3.2,learning new topics,1,-1,yes,copilot,1,yes,mobile,poor,35
kavya,kerala university of fisheries and ocean studies,law,4,gemini,1.1,assignments,4,-1,no,chatgpt,6,no,tablet,high,36
kavya,kerala university of fisheries and ocean studies,law,4,gemini,1.1,coding help,4,-1,no,chatgpt,6,no,tablet,high,36
aishwarya,"purnea university, purnahiya",law,3,copilot,0.8,doubt solving,5,-3,yes,copilot,10,no,mobile,poor,37
aishwarya,"purnea university, purnahiya",law,3,copilot,0.8,resume writing,5,-3,yes,copilot,10,no,mobile,poor,37
shreya,shri guru ram rai institute of medical,medical,1,"gemini, midjourney",1.4,content writing,2,1,no,other,1,no,laptop,medium,38
nandini,sardar vallabhbhai national institute of technology,engineering,4,"chatgpt, copilot",0.7,exam prep,4,2,yes,gemini,1,yes,laptop,medium,39
nandini,sardar vallabhbhai national institute of technology,engineering,4,"chatgpt, copilot",0.7,notes,4,2,yes,gemini,1,yes,laptop,medium,39
aarav,"nef law college, guwahati",law,3,"chatgpt, copilot",2.9,learning new topics,2,-2,no,chatgpt,7,yes,mobile,poor,40
vivaan,doon post graduate college of agriculture science,hotel-management,2,copilot,3.1,assignments,2,-2,no,gemini,10,yes,laptop,medium,41
vivaan,doon post graduate college of agriculture science,hotel-management,2,copilot,3.1,coding help,2,-2,no,gemini,10,yes,laptop,medium,41
aditya,college of veterinary and animal sciences,science,4,"chatgpt, gemini, copilot",0.6,mcq practice,5,1,no,copilot,7,yes,laptop,medium,42
aditya,college of veterinary and animal sciences,science,4,"chatgpt, gemini, copilot",0.6,projects,5,1,no,copilot,7,yes,laptop,medium,42
vihaan,"singhania university, jhunjhunu",management,2,"chatgpt, gemini, copilot",2.7,content writing,1,2,no,other,5,yes,laptop,medium,43
arjun,jecrc university,commerce,3,gemini,4.1,content writing,3,-3,yes,chatgpt,4,yes,laptop,medium,44
sai,"rkdf university, ranchi",law,4,"gemini, midjourney",2.9,mcq practice,2,-2,no,chatgpt,3,yes,tablet,high,45
sai,"rkdf university, ranchi",law,4,"gemini, midjourney",2.9,projects,2,-2,no,chatgpt,3,yes,tablet,high,45
reyansh,bfit group of institutions,engineering,2,"chatgpt, copilot",1.0,content writing,5,-2,yes,gemini,6,yes,mobile,poor,46
ayaan,national institute of technology,science,2,"chatgpt, gemini, copilot",1.9,mcq practice,5,-3,no,chatgpt,8,yes,mobile,high,47
ayaan,national institute of technology,science,2,"chatgpt, gemini, copilot",1.9,projects,5,-3,no,chatgpt,8,yes,mobile,high,47
krishna,dr. sns rajalakshmi college of arts and,commerce,1,"gemini, midjourney",1.1,mcq practice,1,1,yes,gemini,2,no,laptop,poor,48
krishna,dr. sns rajalakshmi college of arts and,commerce,1,"gemini, midjourney",1.1,projects,1,1,yes,gemini,2,no,laptop,poor,48
ishaan,ram krishna dwarika college,commerce,3,"chatgpt, copilot",1.2,doubt solving,1,0,no,gemini,7,no,tablet,high,49
ishaan,ram krishna dwarika college,commerce,3,"chatgpt, copilot",1.2,resume writing,1,0,no,gemini,7,no,tablet,high,49
rudra,"inmantec institutions, ghaziabad",pharmacy,2,copilot,0.8,doubt solving,1,-2,yes,copilot,9,no,tablet,high,50
rudra,"inmantec institutions, ghaziabad",pharmacy,2,copilot,0.8,resume writing,1,-2,yes,copilot,9,no,tablet,high,50
dhruv,"st.joseph university, dimapur",science,3,chatgpt,3.9,exam prep,2,1,yes,copilot,2,yes,mobile,medium,51
dhruv,"st.joseph university, dimapur",science,3,chatgpt,3.9,notes,2,1,yes,copilot,2,yes,mobile,medium,51
kabir,oriental university,engineering,4,"chatgpt, gemini, copilot",3.1,exam prep,2,-1,yes,chatgpt,7,yes,mobile,medium,52
